symboling,make,fuel-type,body-style,drive-wheels,wheel-base,length,width,height,horsepower,peak-rpm,highway-mpg,city-mpg,price
1,mazda,gas,hatchback,fwd,93.1,159.1,64.2,54.1,68,5000,31,30,5195
1,mazda,gas,hatchback,fwd,93.1,159.1,64.2,54.1,68,5000,38,31,6095
1,mazda,gas,hatchback,fwd,93.1,159.1,64.2,54.1,68,5000,38,31,6795
1,mazda,gas,sedan,fwd,93.1,166.8,64.2,54.1,68,5000,38,31,6695
1,mazda,gas,sedan,fwd,93.1,166.8,64.2,54.1,68,5000,38,31,7395
3,mazda,gas,hatchback,rwd,95.3,169,65.7,49.6,101,6000,23,17,10945
3,mazda,gas,hatchback,rwd,95.3,169,65.7,49.6,101,6000,23,17,11845
3,mazda,gas,hatchback,rwd,95.3,169,65.7,49.6,101,6000,23,17,13645
3,mazda,gas,hatchback,rwd,95.3,169,65.7,49.6,135,6000,23,16,15645
1,mazda,gas,hatchback,fwd,98.8,177.8,66.5,53.7,84,4800,32,26,8845
0,mazda,gas,sedan,fwd,98.8,177.8,66.5,55.5,84,4800,32,26,8495
1,mazda,gas,hatchback,fwd,98.8,177.8,66.5,53.7,84,4800,32,26,10595
0,mazda,gas,sedan,fwd,98.8,177.8,66.5,55.5,84,4800,32,26,10245
0,mazda,diesel,sedan,fwd,98.8,177.8,66.5,55.5,64,4650,42,36,10795
0,mazda,gas,hatchback,fwd,98.8,177.8,66.5,55.5,84,4800,32,26,11245
0,mazda,gas,sedan,rwd,104.9,175,66.1,54.4,120,5000,27,19,18280
0,mazda,diesel,sedan,rwd,104.9,175,66.1,54.4,72,4200,39,31,18344
-1,mercedes-benz,diesel,sedan,rwd,110,190.9,70.3,56.5,123,4350,25,22,25552
-1,mercedes-benz,diesel,wagon,rwd,110,190.9,70.3,58.7,123,4350,25,22,28248
0,mercedes-benz,diesel,hardtop,rwd,106.7,187.5,70.3,54.9,123,4350,25,22,28176
-1,mercedes-benz,diesel,sedan,rwd,115.6,202.6,71.7,56.3,123,4350,25,22,31600
-1,mercedes-benz,gas,sedan,rwd,115.6,202.6,71.7,56.5,155,4750,18,16,34184
3,mercedes-benz,gas,convertible,rwd,96.6,180.3,70.5,50.8,155,4750,18,16,35056
0,mercedes-benz,gas,sedan,rwd,120.9,208.1,71.7,56.7,184,4500,16,14,40960
1,mercedes-benz,gas,hardtop,rwd,112,199.2,72,55.4,184,4500,16,14,45400
1,mercury,gas,hatchback,rwd,102.7,178.4,68,54.8,175,5000,24,19,16503
2,mitsubishi,gas,hatchback,fwd,93.7,157.3,64.4,50.8,68,5500,41,37,5389
2,mitsubishi,gas,hatchback,fwd,93.7,157.3,64.4,50.8,68,5500,38,31,6189
2,mitsubishi,gas,hatchback,fwd,93.7,157.3,64.4,50.8,68,5500,38,31,6669
1,mitsubishi,gas,hatchback,fwd,93,157.3,63.8,50.8,102,5500,30,24,7689
3,mitsubishi,gas,hatchback,fwd,96.3,173,65.4,49.4,116,5500,30,23,9959
3,mitsubishi,gas,hatchback,fwd,96.3,173,65.4,49.4,88,5000,32,25,8499
3,mitsubishi,gas,hatchback,fwd,95.9,173.2,66.3,50.2,145,5000,24,19,12629
3,mitsubishi,gas,hatchback,fwd,95.9,173.2,66.3,50.2,145,5000,24,19,14869
3,mitsubishi,gas,hatchback,fwd,95.9,173.2,66.3,50.2,145,5000,24,19,14489
1,mitsubishi,gas,sedan,fwd,96.3,172.4,65.4,51.6,88,5000,32,25,6989
1,mitsubishi,gas,sedan,fwd,96.3,172.4,65.4,51.6,88,5000,32,25,8189
1,mitsubishi,gas,sedan,fwd,96.3,172.4,65.4,51.6,116,5500,30,23,9279
-1,mitsubishi,gas,sedan,fwd,96.3,172.4,65.4,51.6,116,5500,30,23,9279
1,nissan,gas,sedan,fwd,94.5,165.3,63.8,54.5,69,5200,37,31,5499
1,nissan,diesel,sedan,fwd,94.5,165.3,63.8,54.5,55,4800,50,45,7099
1,nissan,gas,sedan,fwd,94.5,165.3,63.8,54.5,69,5200,37,31,6649
1,nissan,gas,sedan,fwd,94.5,165.3,63.8,54.5,69,5200,37,31,6849
1,nissan,gas,wagon,fwd,94.5,170.2,63.8,53.5,69,5200,37,31,7349
1,nissan,gas,sedan,fwd,94.5,165.3,63.8,54.5,69,5200,37,31,7299
1,nissan,gas,hatchback,fwd,94.5,165.6,63.8,53.3,69,5200,37,31,7799
1,nissan,gas,sedan,fwd,94.5,165.3,63.8,54.5,69,5200,37,31,7499
1,nissan,gas,wagon,fwd,94.5,170.2,63.8,53.5,69,5200,37,31,7999
2,nissan,gas,hardtop,fwd,95.1,162.4,63.8,53.3,69,5200,37,31,8249
0,nissan,gas,hatchback,fwd,97.2,173.4,65.2,54.7,97,5200,34,27,8949
0,nissan,gas,sedan,fwd,97.2,173.4,65.2,54.7,97,5200,34,27,9549
0,nissan,gas,sedan,fwd,100.4,181.7,66.5,55.1,152,5200,22,17,13499
0,nissan,gas,wagon,fwd,100.4,184.6,66.5,56.1,152,5200,22,17,14399
0,nissan,gas,sedan,fwd,100.4,184.6,66.5,55.1,152,5200,25,19,13499
3,nissan,gas,hatchback,rwd,91.3,170.7,67.9,49.7,160,5200,25,19,17199
3,nissan,gas,hatchback,rwd,91.3,170.7,67.9,49.7,200,5200,23,17,19699
1,nissan,gas,hatchback,rwd,99.2,178.5,67.9,49.7,160,5200,25,19,18399
0,peugot,gas,sedan,rwd,107.9,186.7,68.4,56.7,97,5000,24,19,11900
0,peugot,diesel,sedan,rwd,107.9,186.7,68.4,56.7,95,4150,33,28,13200
0,peugot,gas,wagon,rwd,114.2,198.9,68.4,58.7,97,5000,24,19,12440
0,peugot,diesel,wagon,rwd,114.2,198.9,68.4,58.7,95,4150,25,25,13860
0,peugot,gas,sedan,rwd,107.9,186.7,68.4,56.7,95,5000,24,19,15580
0,peugot,diesel,sedan,rwd,107.9,186.7,68.4,56.7,95,4150,33,28,16900
0,peugot,gas,wagon,rwd,114.2,198.9,68.4,56.7,95,5000,24,19,16695
0,peugot,diesel,wagon,rwd,114.2,198.9,68.4,58.7,95,4150,25,25,17075
0,peugot,gas,sedan,rwd,107.9,186.7,68.4,56.7,97,5000,24,19,16630
0,peugot,diesel,sedan,rwd,107.9,186.7,68.4,56.7,95,4150,33,28,17950
0,peugot,gas,sedan,rwd,108,186.7,68.3,56,142,5600,24,18,18150
1,plymouth,gas,hatchback,fwd,93.7,157.3,63.8,50.8,68,5500,41,37,5572
1,plymouth,gas,hatchback,fwd,93.7,157.3,63.8,50.8,102,5500,30,24,7957
1,plymouth,gas,hatchback,fwd,93.7,157.3,63.8,50.6,68,5500,38,31,6229
1,plymouth,gas,sedan,fwd,93.7,167.3,63.8,50.8,68,5500,38,31,6692
1,plymouth,gas,sedan,fwd,93.7,167.3,63.8,50.8,68,5500,38,31,7609
-1,plymouth,gas,wagon,fwd,103.3,174.6,64.6,59.8,88,5000,30,24,8921
3,plymouth,gas,hatchback,rwd,95.9,173.2,66.3,50.2,145,5000,24,19,12764
3,porsche,gas,hatchback,rwd,94.5,168.9,68.3,50.2,143,5500,27,19,22018
3,porsche,gas,hardtop,rwd,89.5,168.9,65,51.6,207,5900,25,17,32528
3,porsche,gas,hardtop,rwd,89.5,168.9,65,51.6,207,5900,25,17,34028
3,porsche,gas,convertible,rwd,89.5,168.9,65,51.6,207,5900,25,17,37028
1,porsche,gas,hatchback,rwd,98.4,175.7,72.3,50.5,288,5750,28,17,29000
0,renault,gas,wagon,fwd,96.1,181.5,66.5,55.2,238,5000,31,23,9295
2,renault,gas,hatchback,fwd,96.1,176.8,66.6,50.5,110,5500,31,23,9895
3,saab,gas,hatchback,fwd,99.1,186.6,66.5,56.1,110,5500,28,21,11850
2,saab,gas,sedan,fwd,99.1,186.6,66.5,56.1,110,5250,28,21,12170
3,saab,gas,hatchback,fwd,99.1,186.6,66.5,56.1,110,5250,28,21,15040
2,saab,gas,sedan,fwd,99.1,186.6,66.5,56.1,110,5250,28,21,15510
3,saab,gas,hatchback,fwd,99.1,186.6,66.5,56.1,160,5500,26,19,18150
2,saab,gas,sedan,fwd,99.1,186.6,66.5,56.1,160,5500,26,19,18620
2,subaru,gas,hatchback,fwd,93.7,156.9,63.4,53.7,69,4900,36,31,5118
2,subaru,gas,hatchback,fwd,93.7,157.9,63.6,53.7,73,4400,31,26,7053
2,subaru,gas,hatchback,4wd,93.3,157.3,63.8,55.7,73,4400,31,26,7603
0,subaru,gas,sedan,fwd,97.2,172,65.4,52.5,82,4800,37,32,7126
0,subaru,gas,sedan,fwd,97.2,172,65.4,52.5,82,4400,33,28,7775
0,subaru,gas,sedan,fwd,97.2,172,65.4,52.5,94,5200,32,26,9960
0,subaru,gas,sedan,4wd,97,172,65.4,54.3,82,4800,25,24,9233
0,subaru,gas,sedan,4wd,97,172,65.4,54.3,111,4800,29,24,11259
0,subaru,gas,wagon,fwd,97,173.5,65.4,53,82,4800,32,28,7463
0,subaru,gas,wagon,fwd,97,173.5,65.4,53,94,5200,31,25,10198
0,subaru,gas,wagon,4wd,96.9,173.6,65.4,54.9,82,4800,29,23,8013
0,subaru,gas,wagon,4wd,96.9,173.6,65.4,54.9,111,4800,23,23,11694
1,toyota,gas,hatchback,fwd,95.7,158.7,63.6,54.5,62,4800,39,35,5348
1,toyota,gas,hatchback,fwd,95.7,158.7,63.6,54.5,62,4800,38,31,6338
1,toyota,gas,hatchback,fwd,95.7,158.7,63.6,54.5,62,4800,38,31,6488
0,toyota,gas,wagon,fwd,95.7,169.7,63.6,59.1,62,4800,37,31,6918
0,toyota,gas,wagon,4wd,95.7,169.7,63.6,59.1,62,4800,32,27,7898
0,toyota,gas,wagon,4wd,95.7,169.7,63.6,59.1,62,4800,32,27,8778
0,toyota,gas,sedan,fwd,95.7,166.3,64.4,53,70,4800,37,30,6938
0,toyota,gas,hatchback,fwd,95.7,166.3,64.4,52.8,70,4800,37,30,7198
0,toyota,diesel,sedan,fwd,95.7,166.3,64.4,53,56,4500,36,34,7898
0,toyota,diesel,hatchback,fwd,95.7,166.3,64.4,52.8,56,4500,47,38,7788
0,toyota,gas,sedan,fwd,95.7,166.3,64.4,53,70,4800,47,38,7738
0,toyota,gas,hatchback,fwd,95.7,166.3,64.4,52.8,70,4800,34,28,8358
0,toyota,gas,sedan,fwd,95.7,166.3,64.4,52.8,70,4800,34,28,9258
1,toyota,gas,sedan,rwd,94.5,168.7,64,52.6,70,4800,34,29,8058
1,toyota,gas,hatchback,rwd,94.5,168.7,64,52.6,70,4800,34,29,8238
1,toyota,gas,sedan,rwd,94.5,168.7,64,52.6,112,6600,29,26,9298
1,toyota,gas,hatchback,rwd,94.5,168.7,64,52.6,112,6600,29,26,9538
2,toyota,gas,hardtop,rwd,98.4,176.2,65.6,52,116,4800,30,24,8449
2,toyota,gas,hardtop,rwd,98.4,176.2,65.6,52,116,4800,30,24,9639
2,toyota,gas,hatchback,rwd,98.4,176.2,65.6,52,116,4800,30,24,9989
2,toyota,gas,hardtop,rwd,98.4,176.2,65.6,52,116,4800,30,24,11199
2,toyota,gas,hatchback,rwd,98.4,176.2,65.6,52,116,4800,30,24,11549
2,toyota,gas,convertible,rwd,98.4,176.2,65.6,53,116,4800,30,24,17669
-1,toyota,gas,sedan,fwd,102.4,175.6,66.5,54.9,92,4200,34,29,8948
-1,toyota,diesel,sedan,fwd,102.4,175.6,66.5,54.9,73,4500,33,30,10698
-1,toyota,gas,hatchback,fwd,102.4,175.6,66.5,53.9,92,4200,32,27,9988
-1,toyota,gas,sedan,fwd,102.4,175.6,66.5,54.9,92,4200,32,27,10898
-1,toyota,gas,hatchback,fwd,102.4,175.6,66.5,53.9,92,4200,32,27,11248
3,toyota,gas,hatchback,rwd,102.9,183.5,67.7,52,161,5200,24,20,16558
3,toyota,gas,hatchback,rwd,102.9,183.5,67.7,52,161,5200,24,19,15998
-1,toyota,gas,sedan,rwd,104.5,187.8,66.5,54.1,156,5200,24,20,15690
-1,toyota,gas,wagon,rwd,104.5,187.8,66.5,54.1,156,5200,24,19,15750
2,volkswagen,diesel,sedan,fwd,97.3,171.7,65.5,55.7,52,4800,46,37,7775
2,volkswagen,gas,sedan,fwd,97.3,171.7,65.5,55.7,85,5250,34,27,7975
2,volkswagen,diesel,sedan,fwd,97.3,171.7,65.5,55.7,52,4800,46,37,7995
2,volkswagen,gas,sedan,fwd,97.3,171.7,65.5,55.7,85,5250,34,27,8195
2,volkswagen,gas,sedan,fwd,97.3,171.7,65.5,55.7,85,5250,34,27,8495
2,volkswagen,diesel,sedan,fwd,97.3,171.7,65.5,55.7,68,4500,42,37,9495
2,volkswagen,gas,sedan,fwd,97.3,171.7,65.5,55.7,100,5500,32,26,9995
3,volkswagen,gas,convertible,fwd,94.5,159.3,64.2,55.6,90,5500,29,24,11595
3,volkswagen,gas,hatchback,fwd,94.5,165.7,64,51.4,90,5500,29,24,9980
0,volkswagen,gas,sedan,fwd,100.4,180.2,66.9,55.1,110,5500,24,19,13295
0,volkswagen,diesel,sedan,fwd,100.4,180.2,66.9,55.1,68,4500,38,33,13845
0,volkswagen,gas,wagon,fwd,100.4,183.1,66.9,55.1,88,5500,31,25,12290
-2,volvo,gas,sedan,rwd,104.3,188.8,67.2,56.2,114,5400,28,23,12940
-1,volvo,gas,wagon,rwd,104.3,188.8,67.2,57.5,114,5400,28,23,13415
-2,volvo,gas,sedan,rwd,104.3,188.8,67.2,56.2,114,5400,28,24,15985
-1,volvo,gas,wagon,rwd,104.3,188.8,67.2,57.5,114,5400,28,24,16515
-2,volvo,gas,sedan,rwd,104.3,188.8,67.2,56.2,162,5100,22,17,18420
-1,volvo,gas,wagon,rwd,104.3,188.8,67.2,57.5,162,5100,22,17,18950
-1,volvo,gas,sedan,rwd,109.1,188.8,68.9,55.5,114,5400,28,23,16845
-1,volvo,gas,sedan,rwd,109.1,188.8,68.8,55.5,160,5300,25,19,19045
-1,volvo,gas,sedan,rwd,109.1,188.8,68.9,55.5,134,5500,23,18,21485
-1,volvo,diesel,sedan,rwd,109.1,188.8,68.9,55.5,106,4800,27,26,22470
-1,volvo,gas,sedan,rwd,109.1,188.8,68.9,55.5,114,5400,25,19,22625
