LotArea,SalePrice
16226,267000
13704,205000
9800,149900
10386,305900
13474,225000
7920,89500
12342,82500
7685,165600
8000,132000
7800,119900
9600,178000
7795,188500
13005,260000
9000,270000
9900,260000
14115,187500
10380,301000
5820,126175
11275,242000
5000,87000
10846,324000
11600,145250
11888,214500
6402,78000
10624,119000
8176,139000
10655,284000
8198,207000
9042,192000
9135,214000
14145,202500
12400,155000
14191,202900
8400,82000
8544,87500
8849,266000
2592,85000
6435,140200
12772,151500
2448,154000
7820,318061
5271,190000
9084,95000
8520,105900
8400,140000
11249,177500
9248,173000
4224,134000
6930,130000
12011,280000
7540,156000
9144,145000
7301,198500
1680,118000
10690,147000
9500,159000
9150,165000
7800,132000
9830,162000
8121,172400
17120,134432
7175,125000
10634,123000
8200,219500
10020,61000
8846,148000
8123,179000
5000,127000
7200,187750
9245,213500
9000,76000
3182,192000
8410,81000
7200,125000
9382,191000
8405,119000
12209,215000
8339,106500
7446,100000
10134,109000
9571,129000
7200,123000
7590,169500
8967,67000
8125,241000
14963,245500
8767,164990
10200,108000
12090,258000
10364,168000
9991,150000
10480,115000
15576,177000
14154,280000
9571,60000
4403,222000
8960,115000
11228,228000
8899,181134
7844,149500
8160,126000
8450,142000
7060,206300
16635,215000
9200,315000
9000,139000
3378,135000
12800,275000
8593,109008
6762,195400
11457,175000
1680,85400
5586,79900
1920,122500
10839,181000
1890,81000
10667,212000
4400,116000
6000,119000
4280,90350
12354,110000
12108,118000
6240,162900
3922,172500
8750,210000
9855,127500
16492,190000
11214,199900
8600,119500
6000,120000
5684,110000
9303,204000
9000,210000
9297,188000
9600,175500
4571,98000
5100,161000
7015,110000
8004,263435
7200,155000
8281,62383
11988,188700
8430,124000
3072,178740
10628,167000
9480,146500
11428,250000
9291,187000
6820,212000
11952,190000
3675,148000
5330,251000
8480,132500
13125,208900
10637,297000
5925,89471
16033,326000
2500,155000
4500,164000
7758,132500
9600,147000
10289,156000
12243,175000
10800,160000
1526,86000
2665,115000
9490,133000
15578,172785
7931,155000
5784,91300
7879,34900
9120,184000
7800,130000
7535,120000
1890,113000
9803,226700
9170,140000
15602,289000
2308,147000
7596,124500
9554,215000
7862,208300
9600,161000
9600,124500
14559,164900
6792,202665
9100,129900
9187,134000
10594,96500
10448,158000
10208,265000
9531,211000
10918,234000
10800,106250
11988,150000
5000,159000
11787,315750
7500,176000
13300,132000
9098,86000
10200,175000
6155,128000
7200,107500
5000,39300
9056,178000
7000,107500
8924,188000
12735,111250
11553,158000
11423,272000
14601,315000
11000,248000
10140,213250
4058,133000
17104,179665
13837,229000
8737,210000
7244,129500
8235,125000
9375,263000
4043,140000
6000,112500
11146,255500
8777,108000
10625,284000
6380,113000
14850,141000
11040,108000
3196,234000
11341,121500
10010,170000
13907,108000
13346,268000
6858,128000
11198,325000
10171,214000
12327,316600
7032,135960
13101,142600
7332,120000
13159,224500
9967,170000
10500,139000
8480,118500
6292,145000
11777,164500
3604,146000
12150,131500
14585,181900
12704,253293
11841,118500
13500,325000
6120,133000
10267,130000
8740,137000
9100,79500
8320,185900
6600,138000
4435,140000
7990,110000
11302,319000
3600,114504
3922,194201
12984,217500
1950,151000
10927,275000
9000,141000
10041,220000
3182,151000
12803,221000
13600,205000
12464,152000
7800,225000
7943,118500
11050,313000
10395,148000
11885,261500
8402,147000
1491,75500
8800,137500
7861,183200
7227,105500
11694,314813
12244,305000
8248,67000
10800,240000
7064,135000
2117,168500
10400,165150
10000,160000
12342,139900
9600,153000
11606,135000
9020,168500
9000,124000
4590,209500
11900,82500
9250,139400
6979,144000
10896,200000
6120,60000
6000,93000
8777,85000
3982,264561
12677,274000
7050,226000
10793,152000
10530,143250
7200,98300
10452,155000
7700,155000
1936,84500
8125,205950
9084,108000
8750,191000
10320,135000
1680,88000
10007,145500
7200,149000
9937,167000
12384,197900
13560,110000
10012,137500
11194,230500
8125,193500
14175,168000
11600,137500
8633,173500
6629,103600
11250,165000
14442,257500
9200,140000
2289,148500
9600,87000
9022,109500
9945,128500
8012,143000
4500,159434
2887,173000
11248,285000
16770,221000
5062,207500
10207,227875
5105,148800
7577,194700
4426,141000
5400,108480
6120,141500
13811,176000
6000,89000
6420,123500
8450,138500
4282,196000
14331,312500
9600,140000
7630,140000
8400,213000
5600,55000
6240,254000
9018,179540
7162,109900
4130,52000
8712,102776
4671,189000
9873,129000
13517,130500
10140,165000
10800,159500
10000,157000
9920,128500
6563,275000
4426,143000
8120,124500
8172,135000
13286,320000
6960,120500
7314,194500
11475,110000
6240,103000
5389,236500
9590,187500
11404,222500
10000,131400
8978,108000
10800,163000
8544,93500
10463,239900
10800,179000
9313,190000
9600,132000
6768,142000
8450,179000
12886,175000
5395,180000
8963,299800
8795,236000
11700,265979
10593,260400
8405,98000
8800,96500
7750,162000
9236,217000
10240,275500
7930,156000
3230,172500
10769,212000
11616,158900
2280,179400
12257,290000
9100,127500
6911,100000
8640,215200
9549,270000
14587,264132
10421,196500
12508,160000
9100,216837
7252,134900
8877,102000
7819,107000
10150,114500
4500,162000
11210,221500
13350,142500
8400,144000
10530,135000
7875,176000
7153,175900
16285,187100
9101,165500
6300,128000
9790,161500
10800,139000
10142,233000
6000,107900
12205,187500
3182,160200
11333,146800
9920,269790
9158,225000
10832,194500
8400,171000
8197,143500
7677,110000
7200,175000
12798,200000
4800,109900
8199,189000
9000,118000
12274,227680
9750,135500
13400,159950
8100,106000
10140,181000
4438,144500
8712,55993
9750,157900
8248,116000
12137,224900
11425,137000
13265,271000
8816,155000
6371,224000
7226,183000
6000,93000
12394,225000
9900,139500
11216,232600
6130,109500
8529,189000
2544,147400
11900,166000
3180,151000
9548,237000
10004,167000
7875,139950
9600,128000
8100,153500
1680,100000
9525,144000
11767,130500
12155,140000
10440,157500
9020,174900
8000,141000
12665,153900
16647,171000
9317,213000
15523,133500
9600,187000
4435,131500
3196,215000
7128,164000
12095,158000
6897,127000
10970,147000
8125,174000
10400,152000
11029,250000
7642,189950
11625,131500
9672,152000
7931,132500
8640,250580
8750,148500
10656,248900
6970,129000
14762,169000
9938,236000
6600,109500
8750,200500
8892,116000
12144,133000
5720,66500
9000,303477
11782,148000
7000,136500
7024,157000
13758,187500
9636,178000
6204,118500
7150,100000
8393,145000
16466,135500
15865,268000
12160,149500
8064,122900
11184,172500
8414,154500
13284,165000
7018,118858
7056,140000
8765,106500
7018,142953
6993,135000
7340,110000
8712,153000
7875,180000
14859,240000
6173,125500
9920,128000
13501,255000
11500,250000
8885,131000
12589,174000
11600,154300
9286,143500
6120,88000
6270,145000
3000,173733
2001,75000
9000,35311
17140,135000
13125,238000
11029,176500
8462,201000
8777,145900
10237,169990
8012,193000
10240,207500
15611,175000
11999,285000
9900,176000
11838,236500
13006,222000
8925,201000
9100,117500
11670,320000
8487,190000
5825,79900
10083,184900
9675,253000
8760,239799
12640,150900
8755,214000
7711,150000
14375,137500
8820,124900
8163,143000
14536,270000
14006,192500
9360,197500
7200,129000
7800,119900
7200,133900
11075,172000
9400,127500
7136,145000
1300,124000
7420,132000
8450,185000
2572,155000
7207,116500
12227,272000
2308,155000
11923,239000
11316,214900
10237,178900
9600,160000
7390,135000
5925,37900
10382,140000
10800,135000
2268,173000
7892,99500
11639,182000
11414,167500
2651,165000
5900,85500
4274,199900
9450,110000
8816,139000
12122,178400
3182,159895
11250,255900
10125,126000
10880,125000
5310,117000
12046,195000
8125,197000
9760,187000
8846,173900
4712,121600
10659,136500
11717,185000
9786,91000
6762,206000
10206,82000
5400,86000
11957,232000
11500,136905
3182,181000
8385,149900
12155,163500
2217,88000
12118,240000
6000,102000
9825,100000
10592,165000
7200,85000
11664,119200
8400,227000
11883,203000
5814,187500
10784,160000
3013,213490
7024,176000
7406,194000
9439,87000
3182,191000
15498,287000
7700,112500
9300,167500
9520,293077
9492,105000
1680,118000
7082,160000
15863,197000
14541,310000
8125,230000
6305,119750
11500,84000
12898,315500
9240,287000
1533,97000
1477,80000
13125,155000
9130,173000
5381,196000
11839,262280
9600,278000
13680,139600
9245,145000
11100,84900
8993,176485
11175,200141
9500,165000
8562,144500
11367,255000
11361,180000
7052,185850
11275,220000
4920,213500
13600,90000
6000,110500
11000,154000
7837,178000
9760,167900
3964,151400
9600,135000
10152,135000
11700,154000
7585,91500
7950,159500
8556,194000
13125,219500
10800,170000
15870,138800
4435,155900
8775,126000
11040,145000
7500,133000
8749,192000
8800,160000
13031,187500
9069,147000
1974,83500
10574,252000
2522,137500
3316,197000
8544,92900
2160,160000
8400,136500
9230,146000
5868,129000
9317,176432
6882,127000
3696,170000
6000,128000
11880,157000
8400,60000
9758,119500
7000,135000
8910,159500
2016,106000
12256,325000
10357,179900
8063,181000
11362,280000
8000,188000
10480,205000
7100,129900
8923,134500
5400,117000
12085,318000
7750,184100
9764,130000
13825,140000
7560,133700
8263,118400
10084,212900
8926,112000
9405,118000
9125,163900
10434,115000
3684,174000
14572,259000
11796,215000
7200,140000
7804,135000
10712,93500
9900,117500
9828,239500
8773,169000
6180,102000
9600,119000
6342,94000
9819,196000
8731,144000
7350,139000
10304,197500
9000,80000
12180,80000
6240,149000
11200,180000
12000,174500
5700,116900
9000,143000
8280,124000
14115,230000
5890,120500
13700,201800
10768,218000
9350,179900
5001,230000
11932,235128
9120,185000
2280,146000
14778,224000
8724,129000
12900,108959
16157,194000
9541,233170
10475,245350
10852,173000
13728,235000
9880,171000
9120,163000
4017,171900
16560,239000
10678,285000
6951,119500
3950,115000
7681,154900
8335,93000
11170,250000
10800,120000
9738,104900
10615,95000
12461,262000
8935,195000
7500,189000
2645,174000
9600,125000
4500,165000
9364,158000
8029,176000
14054,219210
8850,144000
9100,178000
11235,148000
9353,116050
10400,197900
6000,117000
9750,213000
10140,153500
14684,271900
8900,107000
9135,200000
7763,140000
10182,290000
11218,189000
12134,164000
9340,113000
10246,145000
10205,134500
7094,125000
8930,112000
8640,229456
6240,80500
1680,91500
7800,115000
8250,134000
10496,143000
10680,137900
15384,184000
10482,145000
14598,214000
8872,147000
7910,127000
7728,132500
9842,101800
12160,142000
8525,130000
13132,138887
2628,175500
12393,195000
13072,142500
9037,265900
8158,224900
9849,248328
10625,170000
11435,230000
12090,178000
8125,186500
12328,169900
9600,129500
7200,119000
11160,244000
3136,171750
9858,130000
6931,165400
6240,127500
14303,301500
4060,99900
9587,190000
9750,151000
9600,128900
11250,161500
13515,180500
4060,181000
3735,183900
10120,122000
11344,144000
9156,185750
13526,137000
11512,177000
5362,139000
11345,137000
12936,162000
9473,237000
7500,68400
9808,227000
8049,180000
8800,150500
9400,139000
9638,169000
6000,132500
9790,143000
5664,278000
11065,281000
14112,180500
1680,119500
6600,107500
10140,162900
8172,115000
8400,138500
8700,155000
3675,140000
7500,154000
10762,225000
7500,177500
10120,290000
8688,232000
3363,130000
13173,325000
6955,202500
8072,138000
12000,147000
7153,179200
8814,203000
9572,302000
8190,119000
11075,206900
10226,295493
4230,208900
14781,275000
10215,111000
8400,156500
6627,72500
10186,190000
5330,82500
9986,147000
3636,55000
4270,79000
6600,130500
10440,256000
9084,176500
10000,227000
10780,132500
8877,100000
7200,125500
2368,125000
9650,167900
9246,135000
4118,52500
13450,200000
9560,128500
8294,123000
13695,155000
9375,228500
7558,177000
11103,155835
6000,108500
15306,283463
16196,215000
5250,122000
11643,200000
9247,171000
6000,134900
10316,235000
10192,170000
9477,110000
12537,149900
2117,177500
16737,315000
9842,189000
16158,260000
12513,104900
8499,156932
3180,144152
7500,216000
9179,193000
2665,127000
4435,144000
10635,232000
5400,105000
9600,165500
9750,274300
10625,250000
10991,239000
6292,91000
10998,117000
1953,83000
9735,167500
8212,58500
12925,237500
7200,157000
9060,105000
5436,125500
16692,250000
8520,136000
6000,131000
9100,235000
8944,124000
7838,123000
10800,163000
4045,246578
12665,281213
6120,137500
7200,138000
6171,137450
6000,120000
7415,193000
6762,193879
15256,282922
10410,105000
3842,275000
8445,133000
8780,112000
7740,125500
12420,230000
9600,140000
7200,90000
10994,257000
13053,207000
3635,175900
11340,122500
9204,124000
16381,223000
11700,179900
4043,127500
4435,136500
9503,144000
10721,142000
10944,271000
10930,140000
7200,119000
12546,182900
4928,143750
10800,64500
10261,186500
17400,160000
8400,174000
9000,120500
7407,149700
11584,197000
11526,191000
4426,149300
11003,310000
8854,121000
8500,179600
8400,129000
10000,240000
11767,112000
1533,92000
9000,136000
9262,287090
3675,145000
17217,84500
7500,185000
7917,175000
13175,210000
9042,266500
9717,142125
9937,147500
