symboling,normalized-losses,make,fuel-type,body-style,drive-wheels,engine-location,width,height,engine-type,engine-size,horsepower,city-mpg,highway-mpg,price
1,103,nissan,gas,wagon,fwd,front,63.8,53.5,ohc,97,69,31,37,7999
2,168,nissan,gas,hardtop,fwd,front,63.8,53.3,ohc,97,69,31,37,8249
0,106,nissan,gas,hatchback,fwd,front,65.2,54.7,ohc,120,97,27,34,8949
0,106,nissan,gas,sedan,fwd,front,65.2,54.7,ohc,120,97,27,34,9549
0,128,nissan,gas,sedan,fwd,front,66.5,55.1,ohcv,181,152,17,22,13499
0,108,nissan,gas,wagon,fwd,front,66.5,56.1,ohcv,181,152,17,22,14399
0,108,nissan,gas,sedan,fwd,front,66.5,55.1,ohcv,181,152,19,25,13499
3,194,nissan,gas,hatchback,rwd,front,67.9,49.7,ohcv,181,160,19,25,17199
3,194,nissan,gas,hatchback,rwd,front,67.9,49.7,ohcv,181,200,17,23,19699
1,231,nissan,gas,hatchback,rwd,front,67.9,49.7,ohcv,181,160,19,25,18399
0,161,peugot,gas,sedan,rwd,front,68.4,56.7,l,120,97,19,24,11900
0,161,peugot,diesel,sedan,rwd,front,68.4,56.7,l,152,95,28,33,13200
0,?,peugot,gas,wagon,rwd,front,68.4,58.7,l,120,97,19,24,12440
0,?,peugot,diesel,wagon,rwd,front,68.4,58.7,l,152,95,25,25,13860
0,161,peugot,gas,sedan,rwd,front,68.4,56.7,l,120,95,19,24,15580
0,161,peugot,diesel,sedan,rwd,front,68.4,56.7,l,152,95,28,33,16900
0,?,peugot,gas,wagon,rwd,front,68.4,56.7,l,120,95,19,24,16695
0,?,peugot,diesel,wagon,rwd,front,68.4,58.7,l,152,95,25,25,17075
0,161,peugot,gas,sedan,rwd,front,68.4,56.7,l,120,97,19,24,16630
0,161,peugot,diesel,sedan,rwd,front,68.4,56.7,l,152,95,28,33,17950
0,161,peugot,gas,sedan,rwd,front,68.3,56,l,134,142,18,24,18150
1,119,plymouth,gas,hatchback,fwd,front,63.8,50.8,ohc,90,68,37,41,5572
1,119,plymouth,gas,hatchback,fwd,front,63.8,50.8,ohc,98,102,24,30,7957
1,154,plymouth,gas,hatchback,fwd,front,63.8,50.6,ohc,90,68,31,38,6229
1,154,plymouth,gas,sedan,fwd,front,63.8,50.8,ohc,90,68,31,38,6692
1,154,plymouth,gas,sedan,fwd,front,63.8,50.8,ohc,98,68,31,38,7609
-1,74,plymouth,gas,wagon,fwd,front,64.6,59.8,ohc,122,88,24,30,8921
3,?,plymouth,gas,hatchback,rwd,front,66.3,50.2,ohc,156,145,19,24,12764
3,186,porsche,gas,hatchback,rwd,front,68.3,50.2,ohc,151,143,19,27,22018
3,?,porsche,gas,hardtop,rwd,rear,65,51.6,ohcf,194,207,17,25,32528
3,?,porsche,gas,hardtop,rwd,rear,65,51.6,ohcf,194,207,17,25,34028
3,?,porsche,gas,convertible,rwd,rear,65,51.6,ohcf,194,207,17,25,37028
1,?,porsche,gas,hatchback,rwd,front,72.3,50.5,dohcv,203,288,17,28,12000
0,?,renault,gas,wagon,fwd,front,66.5,55.2,ohc,132,?,23,31,9295
2,?,renault,gas,hatchback,fwd,front,66.6,50.5,ohc,132,?,23,31,9895
3,150,saab,gas,hatchback,fwd,front,66.5,56.1,ohc,121,110,21,28,11850
2,104,saab,gas,sedan,fwd,front,66.5,56.1,ohc,121,110,21,28,12170
3,150,saab,gas,hatchback,fwd,front,66.5,56.1,ohc,121,110,21,28,15040
2,104,saab,gas,sedan,fwd,front,66.5,56.1,ohc,121,110,21,28,15510
3,150,saab,gas,hatchback,fwd,front,66.5,56.1,dohc,121,160,19,26,18150
2,104,saab,gas,sedan,fwd,front,66.5,56.1,dohc,121,160,19,26,18620
2,83,subaru,gas,hatchback,fwd,front,63.4,53.7,ohcf,97,69,31,36,5118
2,83,subaru,gas,hatchback,fwd,front,63.6,53.7,ohcf,108,73,26,31,7053
2,83,subaru,gas,hatchback,4wd,front,63.8,55.7,ohcf,108,73,26,31,7603
0,102,subaru,gas,sedan,fwd,front,65.4,52.5,ohcf,108,82,32,37,7126
0,102,subaru,gas,sedan,fwd,front,65.4,52.5,ohcf,108,82,28,33,7775
0,102,subaru,gas,sedan,fwd,front,65.4,52.5,ohcf,108,94,26,32,9960
0,102,subaru,gas,sedan,4wd,front,65.4,54.3,ohcf,108,82,24,25,9233
0,102,subaru,gas,sedan,4wd,front,65.4,54.3,ohcf,108,111,24,29,11259
0,89,subaru,gas,wagon,fwd,front,65.4,53,ohcf,108,82,28,32,7463
0,89,subaru,gas,wagon,fwd,front,65.4,53,ohcf,108,94,25,31,10198
0,85,subaru,gas,wagon,4wd,front,65.4,54.9,ohcf,108,82,23,29,8013
0,85,subaru,gas,wagon,4wd,front,65.4,54.9,ohcf,108,111,23,23,11694
1,87,toyota,gas,hatchback,fwd,front,63.6,54.5,ohc,92,62,35,39,5348
1,87,toyota,gas,hatchback,fwd,front,63.6,54.5,ohc,92,62,31,38,6338
1,74,toyota,gas,hatchback,fwd,front,63.6,54.5,ohc,92,62,31,38,6488
0,77,toyota,gas,wagon,fwd,front,63.6,59.1,ohc,92,62,31,37,6918
0,81,toyota,gas,wagon,4wd,front,63.6,59.1,ohc,92,62,27,32,7898
0,91,toyota,gas,wagon,4wd,front,63.6,59.1,ohc,92,62,27,32,8778
0,91,toyota,gas,sedan,fwd,front,64.4,53,ohc,98,70,30,37,6938
0,91,toyota,gas,hatchback,fwd,front,64.4,52.8,ohc,98,70,30,37,7198
0,91,toyota,diesel,sedan,fwd,front,64.4,53,ohc,110,56,34,36,7898
0,91,toyota,diesel,hatchback,fwd,front,64.4,52.8,ohc,110,56,38,47,7788
0,91,toyota,gas,sedan,fwd,front,64.4,53,ohc,98,70,38,47,7738
0,91,toyota,gas,hatchback,fwd,front,64.4,52.8,ohc,98,70,28,34,8358
0,91,toyota,gas,sedan,fwd,front,64.4,52.8,ohc,98,70,28,34,9258
1,168,toyota,gas,sedan,rwd,front,64,52.6,ohc,98,70,29,34,8058
1,168,toyota,gas,hatchback,rwd,front,64,52.6,ohc,98,70,29,34,8238
1,168,toyota,gas,sedan,rwd,front,64,52.6,dohc,98,112,26,29,9298
1,168,toyota,gas,hatchback,rwd,front,64,52.6,dohc,98,112,26,29,9538
2,134,toyota,gas,hardtop,rwd,front,65.6,52,ohc,146,116,24,30,8449
2,134,toyota,gas,hardtop,rwd,front,65.6,52,ohc,146,116,24,30,9639
2,134,toyota,gas,hatchback,rwd,front,65.6,52,ohc,146,116,24,30,9989
2,134,toyota,gas,hardtop,rwd,front,65.6,52,ohc,146,116,24,30,11199
2,134,toyota,gas,hatchback,rwd,front,65.6,52,ohc,146,116,24,30,11549
2,134,toyota,gas,convertible,rwd,front,65.6,53,ohc,146,116,24,30,17669
-1,65,toyota,gas,sedan,fwd,front,66.5,54.9,ohc,122,92,29,34,8948
-1,65,toyota,diesel,sedan,fwd,front,66.5,54.9,ohc,110,73,30,33,10698
-1,65,toyota,gas,hatchback,fwd,front,66.5,53.9,ohc,122,92,27,32,9988
-1,65,toyota,gas,sedan,fwd,front,66.5,54.9,ohc,122,92,27,32,10898
-1,65,toyota,gas,hatchback,fwd,front,66.5,53.9,ohc,122,92,27,32,11248
3,197,toyota,gas,hatchback,rwd,front,67.7,52,dohc,171,161,20,24,16558
3,197,toyota,gas,hatchback,rwd,front,67.7,52,dohc,171,161,19,24,15998
-1,90,toyota,gas,sedan,rwd,front,66.5,54.1,dohc,171,156,20,24,15690
-1,?,toyota,gas,wagon,rwd,front,66.5,54.1,dohc,161,156,19,24,15750
2,122,volkswagen,diesel,sedan,fwd,front,65.5,55.7,ohc,97,52,37,46,7775
2,122,volkswagen,gas,sedan,fwd,front,65.5,55.7,ohc,109,85,27,34,7975
2,94,volkswagen,diesel,sedan,fwd,front,65.5,55.7,ohc,97,52,37,46,7995
2,94,volkswagen,gas,sedan,fwd,front,65.5,55.7,ohc,109,85,27,34,8195
2,94,volkswagen,gas,sedan,fwd,front,65.5,55.7,ohc,109,85,27,34,8495
2,94,volkswagen,diesel,sedan,fwd,front,65.5,55.7,ohc,97,68,37,42,9495
2,94,volkswagen,gas,sedan,fwd,front,65.5,55.7,ohc,109,100,26,32,9995
3,?,volkswagen,gas,convertible,fwd,front,64.2,55.6,ohc,109,90,24,29,11595
3,256,volkswagen,gas,hatchback,fwd,front,64,51.4,ohc,109,90,24,29,9980
0,?,volkswagen,gas,sedan,fwd,front,66.9,55.1,ohc,136,110,19,24,13295
0,?,volkswagen,diesel,sedan,fwd,front,66.9,55.1,ohc,97,68,33,38,13845
0,?,volkswagen,gas,wagon,fwd,front,66.9,55.1,ohc,109,88,25,31,12290
-2,103,volvo,gas,sedan,rwd,front,67.2,56.2,ohc,141,114,23,28,12940
-1,74,volvo,gas,wagon,rwd,front,67.2,57.5,ohc,141,114,23,28,13415
-2,103,volvo,gas,sedan,rwd,front,67.2,56.2,ohc,141,114,24,28,15985
-1,74,volvo,gas,wagon,rwd,front,67.2,57.5,ohc,141,114,24,28,16515
-2,103,volvo,gas,sedan,rwd,front,67.2,56.2,ohc,130,162,17,22,18420
-1,74,volvo,gas,wagon,rwd,front,67.2,57.5,ohc,130,162,17,22,18950
-1,95,volvo,gas,sedan,rwd,front,68.9,55.5,ohc,141,114,23,28,16845
-1,95,volvo,gas,sedan,rwd,front,68.8,55.5,ohc,141,160,19,25,19045
-1,95,volvo,gas,sedan,rwd,front,68.9,55.5,ohcv,173,134,18,23,21485
-1,95,volvo,diesel,sedan,rwd,front,68.9,55.5,ohc,145,106,26,27,22470
-1,95,volvo,gas,sedan,rwd,front,68.9,55.5,ohc,141,114,19,25,22625
